[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SELECT `name`,`pid`,`seo_title`,`seo_keys`,`seo_desc` FROM `jd_items_tags` WHERE id=4 and is_del=0 LIMIT 1   [ RunTime:0.000464s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SELECT * FROM `jd_items_cate` WHERE id = 1 and is_del=0 and pid=0 LIMIT 1   [ RunTime:0.000323s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SELECT * FROM `jd_items_cate` WHERE pid = 1 and is_del = 0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000387s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SELECT `id`,`name`,`item_nums`,`sid` FROM `jd_items_tags` WHERE sid in (7,8,9,10,11) and is_del = 0 ORDER BY ord desc LIMIT 200   [ RunTime:0.000658s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SELECT COUNT(*) AS tp_count FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 LIMIT 1   [ RunTime:0.000319s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SELECT * FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 ORDER BY ord desc,i.add_time desc LIMIT 0,20   [ RunTime:0.000348s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SHOW COLUMNS FROM `jd_album_items` [ RunTime:0.000669s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SHOW COLUMNS FROM `jd_album` [ RunTime:0.000587s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SHOW COLUMNS FROM `jd_items_comments` [ RunTime:0.000595s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | SQL: SHOW COLUMNS FROM `jd_items_likes` [ RunTime:0.000567s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%206817%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28118%29%2BCHAR%28122%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%286817%3D6817%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28112%29%2BCHAR%28113%29%29%29 | NOTIC: [2] Invalid argument supplied for foreach() BaseAction.class.php 第 88 行.
