[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SELECT `id`,`name`,`item_nums`,`sid` FROM `jd_items_tags` WHERE sid in (7,8,9,10,11) and is_del = 0 ORDER BY ord desc LIMIT 200   [ RunTime:0.000983s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SELECT COUNT(*) AS tp_count FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 LIMIT 1   [ RunTime:0.000308s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SELECT * FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 ORDER BY ord desc,i.add_time desc LIMIT 0,20   [ RunTime:0.000328s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_album_items` [ RunTime:0.000570s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_album` [ RunTime:0.000640s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_items_comments` [ RunTime:0.000605s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_items_likes` [ RunTime:0.000450s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [2] Invalid argument supplied for foreach() BaseAction.class.php 第 88 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8] Undefined index: id BaseAction.class.php 第 106 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SHOW COLUMNS FROM `jd_shop` [ RunTime:0.000870s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | SQL: SELECT `id`,`name`,`img`,`url` FROM `jd_shop` WHERE is_del=0 ORDER BY ord desc LIMIT 30   [ RunTime:0.000188s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | INFO: Tag[ view_template ] --START--
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | INFO: Run LocationTemplate Behavior [ RunTime:0.000068s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | INFO: Tag[ view_template ] --END-- [ RunTime:0.000090s ]
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | INFO: Tag[ view_parse ] --START--
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2020-11-09T15:13:16+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%3BSELECT%20DBMS_PIPE.RECEIVE_MESSAGE%28CHR%28102%29%7C%7CCHR%2869%29%7C%7CCHR%2876%29%7C%7CCHR%2883%29%2C5%29%20FROM%20DUAL-- | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
