[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | SQL: SELECT `name`,`pid`,`seo_title`,`seo_keys`,`seo_desc` FROM `jd_items_tags` WHERE id=4 and is_del=0 LIMIT 1   [ RunTime:0.000485s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | SQL: SELECT * FROM `jd_items_cate` WHERE id = 1 and is_del=0 and pid=0 LIMIT 1   [ RunTime:0.000330s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | SQL: SELECT * FROM `jd_items_cate` WHERE pid = 1 and is_del = 0 ORDER BY ord desc LIMIT 10   [ RunTime:0.000411s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | SQL: SELECT `id`,`name`,`item_nums`,`sid` FROM `jd_items_tags` WHERE sid in (7,8,9,10,11) and is_del = 0 ORDER BY ord desc LIMIT 200   [ RunTime:0.000641s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | SQL: SELECT COUNT(*) AS tp_count FROM `jd_items_tags_item` LEFT JOIN  jd_items as i on i.id=jd_items_tags_item.item_id WHERE tag_id=4 and i.is_del=0 and i.status=1 LIMIT 1   [ RunTime:0.000308s ]
[ 2020-11-09T15:13:14+08:00 ] /index.php?a=tag&m=Cate&g=Home&id=4%20AND%207678%3DCAST%28%28CHR%28113%29%7C%7CCHR%28118%29%7C%7CCHR%28122%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%287678%3D7678%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20Iowa | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
